row,desk,date,firstHalf,secondHalf
62,CLUJ_5_beta_16.2,01/01/2024,FALSE,FALSE
63,CLUJ_5_beta_16.3,01/01/2024,TRUE,FALSE
64,CLUJ_5_beta_16.4,01/01/2024,TRUE,FALSE
65,CLUJ_5_beta_17.1,01/01/2024,FALSE,TRUE
66,CLUJ_5_beta_17.2,01/01/2024,FALSE,FALSE
67,CLUJ_5_beta_17.3,01/01/2024,FALSE,TRUE
68,CLUJ_5_beta_17.4,01/01/2024,TRUE,TRUE
69,CLUJ_5_beta_18.1,01/01/2024,TRUE,TRUE
70,CLUJ_5_beta_18.2,01/01/2024,FALSE,FALSE
71,CLUJ_5_beta_18.3,01/01/2024,FALSE,TRUE
72,CLUJ_5_beta_18.4,01/01/2024,FALSE,FALSE
73,CLUJ_5_beta_18.5,01/01/2024,TRUE,FALSE
74,CLUJ_5_beta_19.1,01/01/2024,TRUE,FALSE
75,CLUJ_5_beta_19.2,01/01/2024,FALSE,TRUE
76,CLUJ_5_beta_19.3,01/01/2024,TRUE,FALSE
77,CLUJ_5_beta_19.4,01/01/2024,TRUE,FALSE
78,CLUJ_5_beta_19.5,01/01/2024,TRUE,TRUE
79,CLUJ_5_beta_19.6,01/01/2024,TRUE,FALSE
80,CLUJ_5_beta_20.1,01/01/2024,FALSE,FALSE
81,CLUJ_5_beta_20.2,01/01/2024,FALSE,FALSE
82,CLUJ_5_beta_20.3,01/01/2024,TRUE,TRUE
83,CLUJ_5_beta_20.4,01/01/2024,FALSE,TRUE
84,CLUJ_5_beta_21.1,01/01/2024,TRUE,FALSE
85,CLUJ_5_beta_21.2,01/01/2024,FALSE,TRUE
86,CLUJ_5_beta_21.3,01/01/2024,FALSE,FALSE
87,CLUJ_5_beta_21.4,01/01/2024,TRUE,TRUE
88,CLUJ_5_beta_22.1,01/01/2024,TRUE,TRUE
89,CLUJ_5_beta_22.2,01/01/2024,FALSE,FALSE
90,CLUJ_5_beta_22.3,01/01/2024,TRUE,FALSE
91,CLUJ_5_beta_22.4,01/01/2024,TRUE,TRUE
92,CLUJ_5_beta_23.1,01/01/2024,FALSE,TRUE
93,CLUJ_5_beta_23.2,01/01/2024,TRUE,FALSE
94,CLUJ_5_beta_23.3,01/01/2024,FALSE,FALSE
95,CLUJ_5_beta_23.4,01/01/2024,TRUE,FALSE
96,CLUJ_5_beta_24.1,01/01/2024,FALSE,TRUE
97,CLUJ_5_beta_24.2,01/01/2024,FALSE,TRUE
98,CLUJ_5_beta_24.3,01/01/2024,TRUE,FALSE
99,CLUJ_5_beta_24.4,01/01/2024,FALSE,FALSE
100,CLUJ_5_beta_25.1,01/01/2024,TRUE,FALSE
101,CLUJ_5_beta_25.2,01/01/2024,TRUE,TRUE
102,CLUJ_5_beta_25.3,01/01/2024,FALSE,FALSE
103,CLUJ_5_beta_25.4,01/01/2024,FALSE,TRUE
104,CLUJ_5_beta_26.1,01/01/2024,TRUE,FALSE
105,CLUJ_5_beta_26.2,01/01/2024,FALSE,TRUE
106,CLUJ_5_beta_26.3,01/01/2024,TRUE,FALSE
107,CLUJ_5_beta_26.4,01/01/2024,FALSE,FALSE
108,CLUJ_5_beta_27.1,01/01/2024,TRUE,TRUE
109,CLUJ_5_beta_27.2,01/01/2024,FALSE,FALSE
110,CLUJ_5_beta_27.3,01/01/2024,TRUE,FALSE
111,CLUJ_5_beta_27.4,01/01/2024,TRUE,FALSE
112,CLUJ_5_beta_28.1,01/01/2024,TRUE,FALSE
113,CLUJ_5_beta_28.2,01/01/2024,TRUE,FALSE
114,CLUJ_5_beta_28.3,01/01/2024,FALSE,FALSE
115,CLUJ_5_beta_28.4,01/01/2024,FALSE,FALSE
116,CLUJ_5_beta_29.1,01/01/2024,TRUE,TRUE
117,CLUJ_5_beta_29.2,01/01/2024,TRUE,FALSE
118,CLUJ_5_beta_29.3,01/01/2024,TRUE,FALSE
119,CLUJ_5_beta_29.4,01/01/2024,TRUE,FALSE
120,CLUJ_5_beta_30.1,01/01/2024,TRUE,TRUE
121,CLUJ_5_beta_30.2,01/01/2024,FALSE,TRUE
122,CLUJ_5_beta_30.3,01/01/2024,FALSE,TRUE
123,CLUJ_5_beta_30.4,01/01/2024,TRUE,TRUE
124,CLUJ_5_beta_31.1,01/01/2024,TRUE,FALSE
125,CLUJ_5_beta_31.2,01/01/2024,FALSE,FALSE
126,CLUJ_5_beta_31.3,01/01/2024,TRUE,TRUE
127,CLUJ_5_beta_31.4,01/01/2024,FALSE,FALSE
128,CLUJ_5_beta_32.1,01/01/2024,TRUE,FALSE
129,CLUJ_5_beta_32.2,01/01/2024,FALSE,TRUE
130,CLUJ_5_beta_32.3,01/01/2024,TRUE,FALSE
131,CLUJ_5_beta_32.4,01/01/2024,TRUE,FALSE
132,CLUJ_5_beta_33.1,01/01/2024,FALSE,FALSE
133,CLUJ_5_beta_33.2,01/01/2024,FALSE,FALSE
134,CLUJ_5_beta_33.3,01/01/2024,TRUE,TRUE
135,CLUJ_5_beta_33.4,01/01/2024,TRUE,TRUE
136,CLUJ_5_beta_1.1,02/01/2024,FALSE,FALSE
137,CLUJ_5_beta_1.2,02/01/2024,TRUE,TRUE
138,CLUJ_5_beta_1.3,02/01/2024,TRUE,FALSE
139,CLUJ_5_beta_1.4,02/01/2024,TRUE,FALSE
140,CLUJ_5_beta_2.1,02/01/2024,TRUE,FALSE
141,CLUJ_5_beta_2.2,02/01/2024,FALSE,TRUE
142,CLUJ_5_beta_2.3,02/01/2024,FALSE,FALSE
143,CLUJ_5_beta_2.4,02/01/2024,FALSE,FALSE
144,CLUJ_5_beta_3.1,02/01/2024,FALSE,FALSE
145,CLUJ_5_beta_3.2,02/01/2024,FALSE,TRUE
146,CLUJ_5_beta_3.3,02/01/2024,FALSE,TRUE
147,CLUJ_5_beta_3.4,02/01/2024,TRUE,FALSE
148,CLUJ_5_beta_4.1,02/01/2024,TRUE,FALSE
149,CLUJ_5_beta_4.2,02/01/2024,TRUE,TRUE
150,CLUJ_5_beta_4.3,02/01/2024,FALSE,TRUE
151,CLUJ_5_beta_4.4,02/01/2024,TRUE,FALSE
152,CLUJ_5_beta_5.1,02/01/2024,TRUE,FALSE
153,CLUJ_5_beta_5.2,02/01/2024,FALSE,FALSE
154,CLUJ_5_beta_5.3,02/01/2024,FALSE,TRUE
155,CLUJ_5_beta_5.4,02/01/2024,TRUE,FALSE
156,CLUJ_5_beta_6.1,02/01/2024,TRUE,FALSE
157,CLUJ_5_beta_6.2,02/01/2024,TRUE,FALSE
158,CLUJ_5_beta_6.3,02/01/2024,TRUE,FALSE
159,CLUJ_5_beta_6.4,02/01/2024,FALSE,TRUE
160,CLUJ_5_beta_7.1,02/01/2024,FALSE,TRUE
161,CLUJ_5_beta_7.2,02/01/2024,FALSE,TRUE
162,CLUJ_5_beta_7.3,02/01/2024,FALSE,TRUE
163,CLUJ_5_beta_7.4,02/01/2024,FALSE,FALSE
164,CLUJ_5_beta_8.1,02/01/2024,TRUE,FALSE
165,CLUJ_5_beta_8.2,02/01/2024,TRUE,TRUE
166,CLUJ_5_beta_8.3,02/01/2024,FALSE,FALSE
167,CLUJ_5_beta_8.4,02/01/2024,TRUE,TRUE
168,CLUJ_5_beta_9.1,02/01/2024,TRUE,FALSE
169,CLUJ_5_beta_9.2,02/01/2024,FALSE,FALSE
170,CLUJ_5_beta_9.3,02/01/2024,FALSE,FALSE
171,CLUJ_5_beta_9.4,02/01/2024,TRUE,FALSE
172,CLUJ_5_beta_10.1,02/01/2024,FALSE,TRUE
173,CLUJ_5_beta_10.2,02/01/2024,FALSE,TRUE
174,CLUJ_5_beta_10.3,02/01/2024,FALSE,TRUE
175,CLUJ_5_beta_10.4,02/01/2024,TRUE,TRUE
176,CLUJ_5_beta_11.1,02/01/2024,FALSE,TRUE
177,CLUJ_5_beta_11.2,02/01/2024,TRUE,TRUE
178,CLUJ_5_beta_11.3,02/01/2024,FALSE,FALSE
179,CLUJ_5_beta_11.4,02/01/2024,TRUE,FALSE
180,CLUJ_5_beta_12.1,02/01/2024,FALSE,TRUE
181,CLUJ_5_beta_12.2,02/01/2024,TRUE,FALSE
182,CLUJ_5_beta_12.3,02/01/2024,TRUE,TRUE
183,CLUJ_5_beta_12.4,02/01/2024,FALSE,TRUE
184,CLUJ_5_beta_13.1,02/01/2024,TRUE,FALSE
185,CLUJ_5_beta_13.2,02/01/2024,FALSE,FALSE
186,CLUJ_5_beta_13.3,02/01/2024,FALSE,TRUE
187,CLUJ_5_beta_13.4,02/01/2024,FALSE,TRUE
188,CLUJ_5_beta_14.1,02/01/2024,TRUE,FALSE
189,CLUJ_5_beta_14.2,02/01/2024,FALSE,TRUE
190,CLUJ_5_beta_14.3,02/01/2024,FALSE,TRUE
191,CLUJ_5_beta_14.4,02/01/2024,FALSE,FALSE
192,CLUJ_5_beta_15.1,02/01/2024,TRUE,FALSE
193,CLUJ_5_beta_15.2,02/01/2024,FALSE,FALSE
194,CLUJ_5_beta_15.3,02/01/2024,TRUE,TRUE
195,CLUJ_5_beta_15.4,02/01/2024,TRUE,TRUE
196,CLUJ_5_beta_16.1,02/01/2024,TRUE,FALSE
197,CLUJ_5_beta_16.2,02/01/2024,TRUE,TRUE
198,CLUJ_5_beta_16.3,02/01/2024,TRUE,TRUE
199,CLUJ_5_beta_16.4,02/01/2024,FALSE,TRUE
200,CLUJ_5_beta_17.1,02/01/2024,FALSE,TRUE
201,CLUJ_5_beta_17.2,02/01/2024,TRUE,FALSE
202,CLUJ_5_beta_17.3,02/01/2024,FALSE,TRUE
203,CLUJ_5_beta_17.4,02/01/2024,FALSE,TRUE
204,CLUJ_5_beta_18.1,02/01/2024,FALSE,TRUE
205,CLUJ_5_beta_18.2,02/01/2024,FALSE,FALSE
206,CLUJ_5_beta_18.3,02/01/2024,TRUE,FALSE
207,CLUJ_5_beta_18.4,02/01/2024,TRUE,FALSE
208,CLUJ_5_beta_18.5,02/01/2024,FALSE,TRUE
209,CLUJ_5_beta_19.1,02/01/2024,TRUE,TRUE
210,CLUJ_5_beta_19.2,02/01/2024,FALSE,FALSE
211,CLUJ_5_beta_19.3,02/01/2024,TRUE,TRUE
212,CLUJ_5_beta_19.4,02/01/2024,FALSE,TRUE
213,CLUJ_5_beta_19.5,02/01/2024,FALSE,FALSE
214,CLUJ_5_beta_19.6,02/01/2024,TRUE,FALSE
215,CLUJ_5_beta_20.1,02/01/2024,FALSE,FALSE
216,CLUJ_5_beta_20.2,02/01/2024,TRUE,FALSE
217,CLUJ_5_beta_20.3,02/01/2024,TRUE,FALSE
218,CLUJ_5_beta_20.4,02/01/2024,FALSE,TRUE
219,CLUJ_5_beta_21.1,02/01/2024,TRUE,FALSE
220,CLUJ_5_beta_21.2,02/01/2024,FALSE,TRUE
221,CLUJ_5_beta_21.3,02/01/2024,TRUE,TRUE
222,CLUJ_5_beta_21.4,02/01/2024,TRUE,TRUE
223,CLUJ_5_beta_22.1,02/01/2024,FALSE,FALSE
224,CLUJ_5_beta_22.2,02/01/2024,FALSE,TRUE
225,CLUJ_5_beta_22.3,02/01/2024,FALSE,TRUE
226,CLUJ_5_beta_22.4,02/01/2024,FALSE,FALSE
227,CLUJ_5_beta_23.1,02/01/2024,FALSE,TRUE
228,CLUJ_5_beta_23.2,02/01/2024,TRUE,TRUE
229,CLUJ_5_beta_23.3,02/01/2024,FALSE,FALSE
230,CLUJ_5_beta_23.4,02/01/2024,FALSE,TRUE
231,CLUJ_5_beta_24.1,02/01/2024,FALSE,FALSE
232,CLUJ_5_beta_24.2,02/01/2024,FALSE,TRUE
233,CLUJ_5_beta_24.3,02/01/2024,FALSE,TRUE
234,CLUJ_5_beta_24.4,02/01/2024,FALSE,FALSE
235,CLUJ_5_beta_25.1,02/01/2024,TRUE,TRUE
236,CLUJ_5_beta_25.2,02/01/2024,FALSE,TRUE
237,CLUJ_5_beta_25.3,02/01/2024,TRUE,FALSE
238,CLUJ_5_beta_25.4,02/01/2024,FALSE,TRUE
239,CLUJ_5_beta_26.1,02/01/2024,TRUE,FALSE
240,CLUJ_5_beta_26.2,02/01/2024,FALSE,FALSE
241,CLUJ_5_beta_26.3,02/01/2024,FALSE,TRUE
242,CLUJ_5_beta_26.4,02/01/2024,TRUE,TRUE
243,CLUJ_5_beta_27.1,02/01/2024,FALSE,FALSE
244,CLUJ_5_beta_27.2,02/01/2024,FALSE,TRUE
245,CLUJ_5_beta_27.3,02/01/2024,TRUE,FALSE
246,CLUJ_5_beta_27.4,02/01/2024,FALSE,FALSE
247,CLUJ_5_beta_28.1,02/01/2024,FALSE,TRUE
248,CLUJ_5_beta_28.2,02/01/2024,TRUE,TRUE
249,CLUJ_5_beta_28.3,02/01/2024,FALSE,TRUE
250,CLUJ_5_beta_28.4,02/01/2024,TRUE,FALSE
251,CLUJ_5_beta_29.1,02/01/2024,FALSE,FALSE
252,CLUJ_5_beta_29.2,02/01/2024,FALSE,FALSE
253,CLUJ_5_beta_29.3,02/01/2024,FALSE,FALSE
254,CLUJ_5_beta_29.4,02/01/2024,FALSE,TRUE
255,CLUJ_5_beta_30.1,02/01/2024,TRUE,FALSE
256,CLUJ_5_beta_30.2,02/01/2024,TRUE,TRUE
257,CLUJ_5_beta_30.3,02/01/2024,TRUE,TRUE
258,CLUJ_5_beta_30.4,02/01/2024,TRUE,TRUE
259,CLUJ_5_beta_31.1,02/01/2024,FALSE,TRUE
260,CLUJ_5_beta_31.2,02/01/2024,FALSE,FALSE
261,CLUJ_5_beta_31.3,02/01/2024,TRUE,FALSE
262,CLUJ_5_beta_31.4,02/01/2024,TRUE,FALSE
263,CLUJ_5_beta_32.1,02/01/2024,TRUE,FALSE
264,CLUJ_5_beta_32.2,02/01/2024,TRUE,TRUE
265,CLUJ_5_beta_32.3,02/01/2024,FALSE,TRUE
266,CLUJ_5_beta_32.4,02/01/2024,FALSE,FALSE
267,CLUJ_5_beta_33.1,02/01/2024,TRUE,TRUE
268,CLUJ_5_beta_33.2,02/01/2024,FALSE,TRUE
269,CLUJ_5_beta_33.3,02/01/2024,FALSE,FALSE
270,CLUJ_5_beta_33.4,02/01/2024,TRUE,FALSE
271,CLUJ_5_beta_1.1,03/01/2024,TRUE,FALSE
272,CLUJ_5_beta_1.2,03/01/2024,FALSE,FALSE
273,CLUJ_5_beta_1.3,03/01/2024,TRUE,FALSE
274,CLUJ_5_beta_1.4,03/01/2024,TRUE,TRUE
275,CLUJ_5_beta_2.1,03/01/2024,TRUE,TRUE
276,CLUJ_5_beta_2.2,03/01/2024,TRUE,TRUE
277,CLUJ_5_beta_2.3,03/01/2024,TRUE,FALSE
278,CLUJ_5_beta_2.4,03/01/2024,FALSE,TRUE
279,CLUJ_5_beta_3.1,03/01/2024,TRUE,TRUE
280,CLUJ_5_beta_3.2,03/01/2024,TRUE,TRUE
281,CLUJ_5_beta_3.3,03/01/2024,FALSE,TRUE
282,CLUJ_5_beta_3.4,03/01/2024,TRUE,TRUE
283,CLUJ_5_beta_4.1,03/01/2024,TRUE,TRUE
284,CLUJ_5_beta_4.2,03/01/2024,FALSE,FALSE
285,CLUJ_5_beta_4.3,03/01/2024,FALSE,TRUE
286,CLUJ_5_beta_4.4,03/01/2024,FALSE,FALSE
287,CLUJ_5_beta_5.1,03/01/2024,FALSE,TRUE
288,CLUJ_5_beta_5.2,03/01/2024,TRUE,FALSE
289,CLUJ_5_beta_5.3,03/01/2024,FALSE,FALSE
290,CLUJ_5_beta_5.4,03/01/2024,TRUE,TRUE
291,CLUJ_5_beta_6.1,03/01/2024,TRUE,FALSE
292,CLUJ_5_beta_6.2,03/01/2024,TRUE,TRUE
293,CLUJ_5_beta_6.3,03/01/2024,TRUE,TRUE
294,CLUJ_5_beta_6.4,03/01/2024,TRUE,FALSE
295,CLUJ_5_beta_7.1,03/01/2024,TRUE,FALSE
296,CLUJ_5_beta_7.2,03/01/2024,FALSE,TRUE
297,CLUJ_5_beta_7.3,03/01/2024,FALSE,FALSE
298,CLUJ_5_beta_7.4,03/01/2024,FALSE,TRUE
299,CLUJ_5_beta_8.1,03/01/2024,TRUE,TRUE
300,CLUJ_5_beta_8.2,03/01/2024,TRUE,TRUE
301,CLUJ_5_beta_8.3,03/01/2024,TRUE,FALSE
302,CLUJ_5_beta_8.4,03/01/2024,FALSE,FALSE
303,CLUJ_5_beta_9.1,03/01/2024,TRUE,TRUE
304,CLUJ_5_beta_9.2,03/01/2024,TRUE,FALSE
305,CLUJ_5_beta_9.3,03/01/2024,TRUE,FALSE
306,CLUJ_5_beta_9.4,03/01/2024,FALSE,FALSE
307,CLUJ_5_beta_10.1,03/01/2024,FALSE,TRUE
308,CLUJ_5_beta_10.2,03/01/2024,TRUE,TRUE
309,CLUJ_5_beta_10.3,03/01/2024,FALSE,TRUE
310,CLUJ_5_beta_10.4,03/01/2024,TRUE,TRUE
311,CLUJ_5_beta_11.1,03/01/2024,FALSE,TRUE
312,CLUJ_5_beta_11.2,03/01/2024,FALSE,FALSE
313,CLUJ_5_beta_11.3,03/01/2024,FALSE,TRUE
314,CLUJ_5_beta_11.4,03/01/2024,TRUE,TRUE
315,CLUJ_5_beta_12.1,03/01/2024,TRUE,FALSE
316,CLUJ_5_beta_12.2,03/01/2024,TRUE,FALSE
317,CLUJ_5_beta_12.3,03/01/2024,TRUE,TRUE
318,CLUJ_5_beta_12.4,03/01/2024,FALSE,TRUE
319,CLUJ_5_beta_13.1,03/01/2024,FALSE,FALSE
320,CLUJ_5_beta_13.2,03/01/2024,TRUE,TRUE
321,CLUJ_5_beta_13.3,03/01/2024,TRUE,TRUE
322,CLUJ_5_beta_13.4,03/01/2024,TRUE,TRUE
323,CLUJ_5_beta_14.1,03/01/2024,FALSE,FALSE
324,CLUJ_5_beta_14.2,03/01/2024,FALSE,FALSE
325,CLUJ_5_beta_14.3,03/01/2024,FALSE,TRUE
326,CLUJ_5_beta_14.4,03/01/2024,TRUE,FALSE
327,CLUJ_5_beta_15.1,03/01/2024,TRUE,FALSE
328,CLUJ_5_beta_15.2,03/01/2024,TRUE,TRUE
329,CLUJ_5_beta_15.3,03/01/2024,FALSE,TRUE
330,CLUJ_5_beta_15.4,03/01/2024,TRUE,TRUE
331,CLUJ_5_beta_16.1,03/01/2024,FALSE,TRUE
332,CLUJ_5_beta_16.2,03/01/2024,TRUE,TRUE
333,CLUJ_5_beta_16.3,03/01/2024,TRUE,FALSE
334,CLUJ_5_beta_16.4,03/01/2024,TRUE,FALSE
335,CLUJ_5_beta_17.1,03/01/2024,FALSE,TRUE
336,CLUJ_5_beta_17.2,03/01/2024,FALSE,FALSE
337,CLUJ_5_beta_17.3,03/01/2024,FALSE,TRUE
338,CLUJ_5_beta_17.4,03/01/2024,FALSE,TRUE
339,CLUJ_5_beta_18.1,03/01/2024,TRUE,TRUE
340,CLUJ_5_beta_18.2,03/01/2024,TRUE,TRUE
341,CLUJ_5_beta_18.3,03/01/2024,FALSE,FALSE
342,CLUJ_5_beta_18.4,03/01/2024,TRUE,FALSE
343,CLUJ_5_beta_18.5,03/01/2024,TRUE,TRUE
344,CLUJ_5_beta_19.1,03/01/2024,TRUE,TRUE
345,CLUJ_5_beta_19.2,03/01/2024,FALSE,FALSE
346,CLUJ_5_beta_19.3,03/01/2024,FALSE,FALSE
347,CLUJ_5_beta_19.4,03/01/2024,TRUE,FALSE
348,CLUJ_5_beta_19.5,03/01/2024,FALSE,FALSE
349,CLUJ_5_beta_19.6,03/01/2024,TRUE,FALSE
350,CLUJ_5_beta_20.1,03/01/2024,TRUE,TRUE
351,CLUJ_5_beta_20.2,03/01/2024,TRUE,FALSE
352,CLUJ_5_beta_20.3,03/01/2024,FALSE,TRUE
353,CLUJ_5_beta_20.4,03/01/2024,FALSE,TRUE
354,CLUJ_5_beta_21.1,03/01/2024,FALSE,FALSE
355,CLUJ_5_beta_21.2,03/01/2024,TRUE,FALSE
356,CLUJ_5_beta_21.3,03/01/2024,FALSE,FALSE
357,CLUJ_5_beta_21.4,03/01/2024,FALSE,FALSE
358,CLUJ_5_beta_22.1,03/01/2024,TRUE,FALSE
359,CLUJ_5_beta_22.2,03/01/2024,TRUE,FALSE
360,CLUJ_5_beta_22.3,03/01/2024,FALSE,FALSE
361,CLUJ_5_beta_22.4,03/01/2024,TRUE,TRUE
362,CLUJ_5_beta_23.1,03/01/2024,TRUE,TRUE
363,CLUJ_5_beta_23.2,03/01/2024,FALSE,TRUE
364,CLUJ_5_beta_23.3,03/01/2024,FALSE,FALSE
365,CLUJ_5_beta_23.4,03/01/2024,TRUE,TRUE
366,CLUJ_5_beta_24.1,03/01/2024,FALSE,FALSE
367,CLUJ_5_beta_24.2,03/01/2024,TRUE,TRUE
368,CLUJ_5_beta_24.3,03/01/2024,FALSE,FALSE
369,CLUJ_5_beta_24.4,03/01/2024,TRUE,FALSE
370,CLUJ_5_beta_25.1,03/01/2024,TRUE,FALSE
371,CLUJ_5_beta_25.2,03/01/2024,TRUE,FALSE
372,CLUJ_5_beta_25.3,03/01/2024,TRUE,FALSE
373,CLUJ_5_beta_25.4,03/01/2024,FALSE,TRUE
374,CLUJ_5_beta_26.1,03/01/2024,FALSE,TRUE
375,CLUJ_5_beta_26.2,03/01/2024,FALSE,FALSE
376,CLUJ_5_beta_26.3,03/01/2024,TRUE,TRUE
377,CLUJ_5_beta_26.4,03/01/2024,TRUE,TRUE
378,CLUJ_5_beta_27.1,03/01/2024,FALSE,FALSE
379,CLUJ_5_beta_27.2,03/01/2024,FALSE,FALSE
380,CLUJ_5_beta_27.3,03/01/2024,TRUE,TRUE
381,CLUJ_5_beta_27.4,03/01/2024,TRUE,TRUE
382,CLUJ_5_beta_28.1,03/01/2024,FALSE,TRUE
383,CLUJ_5_beta_28.2,03/01/2024,TRUE,FALSE
384,CLUJ_5_beta_28.3,03/01/2024,FALSE,FALSE
385,CLUJ_5_beta_28.4,03/01/2024,FALSE,FALSE
386,CLUJ_5_beta_29.1,03/01/2024,FALSE,FALSE
387,CLUJ_5_beta_29.2,03/01/2024,TRUE,TRUE
388,CLUJ_5_beta_29.3,03/01/2024,TRUE,FALSE
389,CLUJ_5_beta_29.4,03/01/2024,FALSE,TRUE
390,CLUJ_5_beta_30.1,03/01/2024,FALSE,TRUE
391,CLUJ_5_beta_30.2,03/01/2024,FALSE,FALSE
392,CLUJ_5_beta_30.3,03/01/2024,FALSE,TRUE
393,CLUJ_5_beta_30.4,03/01/2024,FALSE,TRUE
394,CLUJ_5_beta_31.1,03/01/2024,TRUE,TRUE
395,CLUJ_5_beta_31.2,03/01/2024,TRUE,TRUE
396,CLUJ_5_beta_31.3,03/01/2024,FALSE,FALSE
397,CLUJ_5_beta_31.4,03/01/2024,TRUE,TRUE
398,CLUJ_5_beta_32.1,03/01/2024,FALSE,TRUE
399,CLUJ_5_beta_32.2,03/01/2024,FALSE,FALSE
400,CLUJ_5_beta_32.3,03/01/2024,TRUE,FALSE
401,CLUJ_5_beta_32.4,03/01/2024,TRUE,FALSE
402,CLUJ_5_beta_33.1,03/01/2024,FALSE,TRUE
403,CLUJ_5_beta_33.2,03/01/2024,TRUE,TRUE
404,CLUJ_5_beta_33.3,03/01/2024,FALSE,TRUE
405,CLUJ_5_beta_33.4,03/01/2024,FALSE,FALSE
406,CLUJ_5_beta_1.1,04/01/2024,FALSE,TRUE
407,CLUJ_5_beta_1.2,04/01/2024,TRUE,TRUE
408,CLUJ_5_beta_1.3,04/01/2024,FALSE,FALSE
409,CLUJ_5_beta_1.4,04/01/2024,TRUE,FALSE
410,CLUJ_5_beta_2.1,04/01/2024,TRUE,TRUE
